country,countryname,isic_code,isic_description,WIOD_sector,VA,VA_share,VA_country,GVCB_val,GVCF_val,GVC_val,GEXP_val,GVCB_share,GVCF_share,GVC_share,EU29_GVCB_val,OTH29_GVCB_val,EU29_GVCF_val,OTH29_GVCF_val,EU29_GVC_val,OTH29_GVC_val,DAVAX,DVA,DC,GEXP,VAX,EU29_DAVAX_val,OTH29_DAVAX_val,EU29_DVA_val,OTH29_DVA_val,EU29_DC_val,OTH29_DC_val,EU29_GEXP_val,OTH29_GEXP_val,EU29_VAX_val,OTH29_VAX_val,EU
AUS,Australia,C20,Manufacture of chemicals and chemical products ,11,5692.137391928148,.0041117013110682,1384375.3,1043.52133363363,1086.500895304326,2130.022228937956,4171.045545117118,.25018218,.26048645,.51066864,90.402359,953.11896,140.81754,945.68335,231.21988,1898.8022,2041.023316179163,3127.524211483489,3140.019344511378,4171.045545117118,3103.965062299727,130.12617,1910.8972,270.94366,2856.5803,272.02621,2867.9932,361.34604,3809.6995,269.46506,2834.5,
AUS,Australia,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,12,3463.009266704728,.0025014961449003,1384375.3,212.5568329148967,51.092742020847,263.6495749357438,1041.150834618206,.20415565,.049073335,.25322899,31.775997,180.78084,13.581583,37.511158,45.357586,218.29199,777.5012596824622,828.5940017033095,830.269095520092,1041.150834618206,827.6406504763377,110.28836,667.21289,123.86993,704.72406,124.12036,706.14874,155.64594,885.50494,123.68378,703.95691,
AUS,Australia,C22,Manufacture of rubber and plastic products,13,4460.166266425573,.0032217900276353,1384375.3,293.1134474375734,244.5359840487544,537.6494314863278,1096.666824205625,.26727667,.22298111,.49025777,24.32724,268.78619,27.622837,216.91315,51.950077,485.69937,559.0173927192969,803.5533767680513,806.4566551269731,1096.666824205625,797.1445916766535,39.068867,519.94855,66.691704,736.86169,66.932655,739.52399,91.018951,1005.6479,66.372421,730.77216,
AUS,Australia,C23,Manufacture of other non-metallic mineral products,14,5670.047294513693,.0040957445840522,1384375.3,76.86050290739283,54.38241020209075,131.2429131094836,425.4720810992613,.18064758,.12781663,.30846423,5.1180797,71.742424,6.789813,47.592598,11.907893,119.33502,294.2291679897777,348.6115781918685,349.2876592159535,425.4720810992613,347.2243595755513,16.423952,277.80521,23.213764,325.39783,23.258783,326.0289,28.331841,397.14023,23.122513,324.10184,
AUS,Australia,C24,Manufacture of basic metals,15,6249.914570013016,.0045146102706565,1384375.3,8842.250101086967,5661.519815287655,14503.76991637462,26531.66463845508,.33327159,.21338728,.54665887,220.55374,8621.6963,270.86548,5390.6543,491.41922,14012.351,12027.89472208046,17689.41453736812,17770.95392230428,26531.66463845508,17560.60123164775,170.36455,11857.531,441.23004,17248.184,443.26389,17327.689,661.78375,25869.883,437.62259,17122.979,
AUS,Australia,C25,"Manufacture of fabricated metal products, except machinery and equipment",16,10485.24658394446,.0075739918342825,1384375.3,585.5615777802883,501.5206556780778,1087.082233458366,2664.410858360282,.2197715,.18822947,.40800098,29.807131,555.75439,39.652496,461.86816,69.459633,1017.6227,1577.328624901915,2078.849280579994,2085.136061188216,2664.410858360282,2066.995474033168,66.168205,1511.1604,105.82069,1973.0286,106.14072,1978.9952,135.62782,2528.783,105.31493,1961.6804,
AUS,Australia,C26,"Manufacture of computer, electronic and optical products",17,4106.25143838684,.0029661405303978,1384375.3,284.4263419017898,206.6719960571451,491.098337958935,1522.272391068883,.18684326,.13576545,.32260871,48.716557,235.70978,59.092251,147.57973,107.80882,383.28952,1031.174053109948,1237.846049167093,1239.555131406056,1522.272391068883,1233.882017238735,152.92609,878.24792,212.01834,1025.8278,212.31108,1027.2441,260.73489,1261.5375,211.31085,1022.5712,
AUS,Australia,C27,Manufacture of electrical equipment,18,2376.134183886344,.0017163946276163,1384375.3,182.8328619518393,105.2182914738589,288.0511534256982,662.248761287535,.27607882,.15888031,.43495914,21.994349,160.83852,19.304388,85.913902,41.29874,246.75243,374.1976078618366,479.4158993356956,480.9104825690939,662.248761287535,476.8491322380584,38.368179,335.82941,57.672577,421.74332,57.85236,423.05811,79.666924,582.58185,57.412647,419.43646,
AUS,Australia,C28,Manufacture of machinery and equipment n.e.c.,19,5234.948783489295,.003781452254995,1384375.3,474.7148364475419,235.8462715324729,710.5611079800146,1784.183834560071,.26606834,.1321872,.39825556,44.028862,430.68597,39.033974,196.8123,83.062828,627.49829,1073.622726580056,1309.468998112529,1312.986613523906,1784.183834560071,1303.097838428882,82.416679,991.20605,121.45065,1188.0183,121.77691,1191.2097,165.47952,1618.7043,120.95542,1182.1425,
AUS,Australia,C29,"Manufacture of motor vehicles, trailers and semi-trailers",20,3516.314104348286,.0025400007620124,1384375.3,757.9767192924777,141.5444456193092,899.5211649117869,2106.326448261251,.3598572,.06719967,.42705685,28.934729,729.04199,20.794613,120.74983,49.729343,849.79181,1206.805283349464,1348.349728968774,1353.524876737565,2106.326448261251,1343.880065495049,30.676802,1176.1285,51.47142,1296.8783,51.668972,1301.856,80.406151,2025.9203,51.218864,1292.6611,
AUS,Australia,C30,Manufacture of other transport equipment,21,3796.455240009121,.0027423600157461,1384375.3,373.9831484281641,204.5466360604367,578.5297844886007,1418.355203518832,.26367384,.14421397,.40788779,29.297281,344.68585,22.505592,182.04105,51.802864,526.72693,839.8254190302312,1044.372055090668,1047.350015638451,1418.355203518832,1038.883923123583,59.30896,780.51642,81.814552,962.5575,82.047844,965.30219,111.11184,1307.2434,81.572159,957.31177,
AUS,Australia,C31_C32,Manufacture of furniture; other manufacturing,22,2246.933056765588,.0016230665142564,1384375.3,251.6825855032268,81.92081724402678,333.6034027472536,1152.377648431726,.21840286,.071088515,.28949139,50.765537,200.91707,19.365328,62.555489,70.130859,263.47253,818.7742456844725,900.6950629284994,902.7080984850985,1152.377648431726,899.131512446588,162.30901,656.46527,181.67433,719.02075,182.08035,720.62775,232.43985,919.93781,181.42865,717.70288,
AUS,Australia,C33,Repair and installation of machinery and equipment,23,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,Australia,D35,"Electricity, gas, steam and air conditioning supply",24,22469.76705734477,.0162309804398074,1384375.3,26.38594089567161,69.89196923835215,96.27791013402377,266.3456717422629,.099066526,.26241076,.36147729,3.057785,23.328156,10.36284,59.529129,13.420625,82.857285,170.0677616082392,239.9597308465914,240.1823955848439,266.3456717422629,238.400240734741,17.445349,152.62241,27.808187,212.15155,27.833996,212.3484,30.865973,235.47971,27.705128,210.69511,
AUS,Australia,E36,"Water collection, treatment and supply",25,10329.72555204834,.0074616516030624,1384375.3,4.696028246567576,59.60032619714069,64.29635444370827,61.79720827039733,.075990945,.96445012,1,.10864875,4.5873814,.39836937,59.201958,.50701803,63.789337,0,57.10118002382986,57.14808565601894,61.79720827039733,56.44756137611854,.92274112,0,1.3211105,55.780094,1.3221955,55.825871,1.4297591,60.367458,1.3163306,55.131245,
AUS,Australia,E37-E39,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",26,3396.494950840818,.0024534496939959,1384375.3,.3601108606597077,1.859866515379047,2.219977376038754,8.92314523120517,.040356942,.20843172,.24878867,.030740816,.32937005,.22173217,1.6381342,.25247303,1.9675044,6.703167855166416,8.563034370545463,8.568204798162975,8.92314523120517,8.518175975333058,.5092501,6.1939178,.73098218,7.8320522,.73142368,7.836781,.7617231,8.1614227,.72864664,7.7895293,
AUS,Australia,F,Construction,27,123724.3181970443,.0893719540331556,1384375.3,191.5690940042446,150.6036355741675,342.172729578412,1122.555626680557,.17065443,.1341614,.30481583,22.61043,168.95866,35.290081,115.31356,57.900517,284.27222,780.3828971021446,930.9865326763122,932.8588896744384,1122.555626680557,927.4881266594725,74.591965,705.79095,109.88206,821.10449,110.10306,822.75586,132.49249,990.06311,109.39566,818.09247,
AUS,Australia,G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,28,7268.181818027989,.0052501530888285,1384375.3,15.78686196267949,7.044020002516289,22.83088196519578,58.52693443532297,.26973671,.12035518,.3900919,2.8679411,12.918921,2.4608536,4.5831666,5.3287945,17.502089,35.69605247012719,42.74007247264348,42.84298545417548,58.52693443532297,42.57942418608905,5.3035779,30.392475,7.7644315,34.975639,7.7831268,35.05986,10.632373,47.894562,7.7348661,34.844559,
AUS,Australia,G46,"Wholesale trade, except of motor vehicles and motorcycles",29,59859.9479111138,.0432396847369893,1384375.3,1646.458733300896,3954.194350445245,5600.65308374614,16694.67229834789,.098621808,.23685367,.33547547,107.63968,1538.8191,319.43948,3634.7546,427.07922,5173.5737,11094.01921460175,15048.213565047,15062.33549731898,16694.67229834789,14944.19879612686,664.35986,10429.659,983.79926,14064.414,984.72247,14077.612,1091.4388,15603.233,980.29541,13963.904,
AUS,Australia,G47,"Retail trade, except of motor vehicles and motorcycles",30,65270.80886870698,.0471482067141455,1384375.3,217.2493811464276,779.4784052015265,996.727786347954,3650.32117539713,.059515141,.21353693,.27305207,13.032106,204.21727,58.967632,720.5108,71.999733,924.72809,2653.593389049176,3433.071794250701,3434.790547776004,3650.32117539713,3411.095945297863,146.97156,2506.6218,205.93915,3227.1326,206.04231,3228.748,218.97127,3431.3501,205.35394,3205.7419,
AUS,Australia,H49,Land transport and transport via pipelines,31,28895.50394635953,.0208725955260152,1384375.3,2229.836358143637,3182.277584004032,5412.113942147671,14673.17523069882,.15196685,.21687722,.36884409,124.19411,2105.6423,222.52744,2959.75,346.72159,5065.3926,9261.061288551149,12443.33887255518,12475.8999484534,14673.17523069882,12356.8214155439,470.52313,8790.5371,693.05066,11750.288,694.8642,11781.035,817.24469,13855.931,690.83868,11665.982,
AUS,Australia,H50,Water transport,32,3641.080999864411,.0026301258191832,1384375.3,163.0763601062346,320.7600113225121,483.8363714287468,1253.962942907584,.13004878,.25579703,.38584584,8.4055796,154.67078,22.098577,298.66144,30.504156,453.33221,770.1265714788374,1090.88658280135,1093.482815529271,1253.962942907584,1082.438426068911,34.12989,735.99664,56.228466,1034.6582,56.362286,1037.1205,64.634048,1189.329,56.026245,1026.4122,
AUS,Australia,H51,Air transport,33,6679.882074714609,.0048251962300371,1384375.3,41.38033783928391,27.32198549908771,68.70232333837161,162.3295120123683,.25491568,.16831188,.42322755,6.4410172,34.93932,7.8742704,19.447716,14.315288,54.387039,93.62718867399673,120.9491741730844,121.7184365453195,162.3295120123683,120.2662841493544,10.951958,82.675232,18.826231,102.12295,18.945967,102.77247,25.267244,137.06227,18.745094,101.52119,
AUS,Australia,H52,Warehousing and support activities for transportation,34,27077.03475753363,.0195590288228581,1384375.3,228.6254879815899,900.33384497405,1128.95933295564,3273.317145392817,.0698452,.27505243,.34489763,41.507412,187.11809,274.82144,625.51239,316.32886,812.63049,2144.357812437177,3044.691657411227,3046.563541791815,3273.317145392817,3023.55120098622,277.94836,1866.4095,552.76984,2491.9219,553.10974,2493.4541,594.27716,2679.0398,550.39532,2473.1558,
AUS,Australia,H53,Postal and courier activities,35,4852.079020031314,.0035048872320546,1384375.3,21.04231656192268,24.65136369972872,45.69368026165139,137.2170395120895,.15335061,.17965235,.33300295,1.8183284,19.223989,4.1977062,20.453659,6.0160351,39.677643,91.52335925043808,116.1747229501668,116.3907547968812,137.2170395120895,115.5988902628992,5.8412933,85.682068,10.039001,106.13572,10.057668,106.33308,11.857327,125.35971,10.002483,105.59641,
AUS,Australia,I,Accommodation and food service activities,36,39020.88219510582,.0281866373619466,1384375.3,632.1763814662118,1126.524532079335,1758.700913545547,8561.578758859585,.073838763,.13157907,.20541783,30.016243,602.16016,51.11834,1075.4061,81.134583,1677.5663,6802.87784531404,7929.402377393372,7934.277501729483,8561.578758859585,7899.927800895935,325.37604,6477.502,376.49442,7552.9082,376.72589,7557.5513,406.51062,8155.0679,375.85571,7524.0723,
AUS,Australia,J58,Publishing activities,37,6406.199251243674,.0046275021220773,1384375.3,95.57374336594015,149.1062108346388,244.6799542005789,1061.765810655809,.090013959,.1404323,.23044625,2.6463246,92.927422,5.1645541,143.94165,7.8108778,236.86908,817.08585645523,966.1920672898685,966.8531379101203,1061.765810655809,960.2496226928073,21.588169,795.49768,26.752724,939.43933,26.771027,940.08209,29.399048,1032.3668,26.701824,933.54779,
AUS,Australia,J59_J60,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",38,7094.766909399327,.0051248872601824,1384375.3,56.89646696349462,37.20379104712146,94.10025801061612,494.4539540034528,.11506929,.075242177,.19031146,5.2398067,51.656658,3.9536455,33.250145,9.1934519,84.906807,400.3536959928369,437.5574870399582,437.9282312517775,494.4539540034528,436.6731413058544,36.342648,364.01105,40.296295,397.2612,40.330429,397.59781,45.536091,448.91785,40.260216,396.41293,
AUS,Australia,J61,Telecommunications,39,20715.55785476223,.0149638317781509,1384375.3,101.9753635720968,104.7044905819606,206.6798541540574,962.3686632532783,.10596289,.10879873,.21476161,16.637861,85.337502,28.895054,75.809433,45.532909,161.14694,755.6888090992207,860.3932996811812,861.2962947384582,962.3686632532783,858.2240996196576,111.48301,644.20581,140.37805,720.01526,140.52539,720.77094,157.01593,805.35272,140.05898,718.16516,
AUS,Australia,J62_J63,"Computer programming, consultancy and related activities; information service activities",40,26753.98768969631,.0193256765755551,1384375.3,109.3027058202988,266.5955016103431,375.898207430642,1378.806164631487,.07927344,.19335242,.27262586,2.0577097,107.245,7.2160907,259.37943,9.2738008,366.62442,1002.907957200846,1269.503458811189,1270.29208425042,1378.806164631487,1262.246923591702,16.683313,986.22467,23.899405,1245.604,23.914249,1246.3778,25.957113,1352.849,23.827923,1238.4189,
AUS,Australia,K64,"Financial service activities, except insurance and pension funding",41,88700.50979875443,.0640725930033141,1384375.3,59.71486890854811,497.021166611236,556.7360355197843,2828.043518939012,.021115258,.17574735,.19686261,3.2641842,56.450684,32.105736,464.91544,35.369919,521.36609,2271.307483419228,2768.328650030464,2768.753128542235,2828.043518939012,2755.321204201953,119.21897,2152.0886,151.32471,2617.0039,151.34792,2617.4053,154.58888,2673.4546,151.0006,2604.3206,
AUS,Australia,K65,"Insurance, reinsurance and pension funding, except compulsory social security",42,17987.67008176709,.0129933488188716,1384375.3,26.52722087562716,102.5264765297956,129.0536974054227,446.6802851694555,.05938749,.22952989,.28891739,.50251508,26.024706,3.3333688,99.193108,3.8358834,125.21781,317.6265877640329,420.1530642938285,420.3317861864382,446.6802851694555,417.6346326946675,4.6257482,313.00085,7.9591174,412.19394,7.962503,412.36929,8.4616327,438.21866,7.9380426,409.69659,
AUS,Australia,K66,Activities auxiliary to financial services and insurance activities,43,22182.63175629005,.0160235689680683,1384375.3,57.01940495729887,289.041703718357,346.0611086756559,883.86613473008,.064511359,.32701978,.39153114,6.7614589,50.257946,57.272263,231.76944,64.033722,282.0274,537.8050260544243,826.8467297727814,827.3218919839516,883.86613473008,823.3162589611485,40.776642,497.02838,98.048897,728.79785,98.105247,729.21667,104.81036,779.05579,97.752548,725.56372,
AUS,Australia,L68,Real estate activities,44,166781.3768985668,.1204741134723925,1384375.3,47.08227891629409,194.4090084120993,241.4912873283933,1709.586394219876,.027540158,.11371698,.14125714,7.1813769,39.900902,30.645618,163.76338,37.826992,203.66429,1468.095106891482,1662.504115303582,1662.869130179015,1709.586394219876,1657.512495890131,222.9332,1245.1619,253.57881,1408.9253,253.63449,1409.2346,260.76019,1448.8262,253.1524,1404.3601,
AUS,Australia,M69_M70,Legal and accounting activities; activities of head offices; management consultancy activities,45,68121.99608561939,.049207754720577,1384375.3,479.4959093021638,1050.757253933999,1530.253163236162,5790.893168572954,.082801722,.18144995,.26425168,79.0214,400.47452,320.63934,730.11786,399.66077,1130.5924,4260.640005336792,5311.397259270791,5315.097207725283,5790.893168572954,5292.484654633789,554.6842,3705.9561,875.32373,4436.0737,875.93323,4439.1641,954.34473,4836.5483,872.01526,4420.4692,
AUS,Australia,M71,Architectural and engineering activities; technical testing and analysis,46,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,Australia,M72,Scientific research and development,47,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,Australia,M73,Advertising and market research,48,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,Australia,M74_M75,"Other professional, scientific and technical activities; veterinary activities",49,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUS,Australia,N,Administrative and support service activities,50,46383.89700705795,.033505292828459,1384375.3,206.8396141513514,441.9212719092027,648.7608860605541,2623.343146744231,.078845806,.16845728,.2473031,37.258347,169.58127,163.39413,278.52713,200.65247,448.10843,1974.582260683677,2416.50353259288,2418.119843201891,2623.343146744231,2407.711963219017,271.8945,1702.6877,435.2886,1981.2148,435.5798,1982.54,472.54697,2150.7964,433.30414,1974.4077,
AUS,Australia,O84,Public administration and defence; compulsory social security,51,77140.7163417109,.0557224049034265,1384375.3,23.83106909373857,43.4644750260733,67.29554411981186,334.1858479727303,.071310826,.13006079,.20137161,1.19783,22.63324,4.428937,39.035542,5.6267672,61.668774,266.8903038529186,310.3547788789919,310.5533147784468,334.1858479727303,309.2284357033716,11.170542,255.71977,15.59948,294.75528,15.609458,294.94385,16.79731,317.38855,15.55543,293.673,
AUS,Australia,P85,Education,52,69993.26217478119,.0505594591335933,1384375.3,422.3244098217861,698.2834620476323,1120.607871869418,7735.945382468858,.054592475,.09026479,.14485726,8.5051203,413.81927,21.822117,676.46136,30.327234,1090.2806,6615.337510599438,7313.62097264707,7316.584864891209,7735.945382468858,7296.334375902222,125.46567,6489.8721,147.28778,7166.333,147.34747,7169.2373,155.79289,7580.1523,147.0453,7149.2891,
AUS,Australia,Q,Human health and social work activities,53,96859.09977660865,.0699659302154449,1384375.3,31.63123295806672,53.15184863015876,84.78308158822546,442.3243819912739,.071511395,.12016486,.19167626,3.4476125,28.18362,18.843809,34.308041,22.29142,62.491661,357.5413004030485,410.6931490332072,410.9028129402277,442.3243819912739,409.4712153110553,25.919258,331.62204,44.763069,365.93008,44.785915,366.11688,48.210682,394.11371,44.582108,364.88913,
AUS,Australia,R_S,Other service activities,54,23365.59323394864,.0168780782540756,1384375.3,161.7606817492774,106.5516101225368,268.3122918718142,1074.39294882541,.15056008,.099173777,.24973385,22.830784,138.92989,21.033142,85.518478,43.86393,224.44839,806.0806569535963,912.6322670761333,913.7528113263639,1074.39294882541,910.5585887837589,107.77511,698.30548,128.80826,783.8241,128.9664,784.78638,151.63901,922.75391,128.60893,781.94977,
AUS,Australia,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,55,9769.81434239123,.0070572011310668,1384375.3,1.861003463098642,12.57102775201654,14.43203121511519,75.10297243766948,.024779359,.16738389,.19216324,.02835485,1.8326486,.079387806,12.49164,.10774267,14.324288,60.67094122255429,73.24196897457082,73.25613988432127,75.10297243766948,72.9227999187668,1.0365504,59.634392,1.1159383,72.12603,1.1161542,72.139984,1.1442932,73.958679,1.1151212,71.807678,
AUS,Australia,U,Activities of extraterritorial organizations and bodies,56,0,0,1384375.3,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AUT,Austria,A01,"Crop and animal production, hunting and related service activities",1,3980.130955218241,.0098193837591393,405334.09,432.0846433846313,251.2794122516257,683.3640556362566,1617.596543242258,.26711521,.15534121,.42245641,356.60886,75.475792,223.01396,28.265471,579.6228,103.74126,934.2324876060013,1185.511899857627,1188.598260477187,1617.596543242258,1176.955750935014,755.41479,178.81769,978.42865,207.08315,980.97601,207.62227,1335.0374,282.55896,970.29382,206.66177,1
AUT,Austria,A02,Forestry and logging,2,1674.938434800636,.0041322417401057,405334.09,23.49832627690877,43.15279660154267,66.65112287845149,124.9768439091661,.18802144,.34528634,.53330779,20.711857,2.7864718,39.597446,3.5553498,60.309303,6.3418212,58.32572103071463,101.4785176322573,101.6492382490132,124.9768439091661,99.89133332930753,49.847569,8.4781475,89.445023,12.033497,89.595497,12.053741,110.15689,14.819969,87.895241,11.99609,1
AUT,Austria,A03,Fishing and aquaculture,3,31.5177312267661,.0000777574159281,405334.09,1.344183950112277,1.10483161170782,2.449015561820096,4.781492813236822,.28112224,.23106416,.51218641,1.1840501,.1601337,.99640805,.10842369,2.1804583,.2685574,2.332477251416726,3.437308863124545,3.445186677241686,4.781492813236822,3.409325117813685,2.0314116,.30106562,3.0278196,.4094893,3.034759,.41042781,4.2118692,.56962299,3.0017941,.40753135,1
AUT,Austria,B,Mining and quarrying,4,1899.047619967277,.004685141661706,405334.09,321.4633941100046,473.1938590887426,794.6572531987472,1370.283048713409,.23459634,.34532562,.57992196,267.28073,54.182644,398.08511,75.108749,665.36584,129.29138,575.6257955146619,1048.819654603405,1050.367452477291,1370.283048713409,1035.83415019837,473.95605,101.66978,872.04108,176.77852,873.328,177.0394,1139.322,230.96117,859.37286,176.46127,1
AUT,Austria,C10-C12,"Manufacture of food products, beverages and tobacco products",5,7624.874661767225,.0188113334112958,405334.09,3769.956707396325,469.4293933174075,4239.386100713734,12104.71388493068,.31144533,.038780708,.35022604,2797.6096,972.34717,410.24249,59.186886,3207.8521,1031.5342,7865.327784216946,8334.757177534355,8361.696019550925,12104.71388493068,8320.226048117969,5774.8125,2090.5137,6185.0562,2149.7007,6205.0474,2156.6489,8982.666,3122.0479,6171.1816,2149.0447,1
AUT,Austria,C13-C15,"Manufacture of textiles, wearing apparel and leather products",6,1549.17244966516,.0038219643935092,405334.09,1857.591586022019,670.8486511338289,2528.440237155847,3999.972925890678,.46440104,.1677133,.63211435,1222.144,635.44757,486.25958,184.58916,1708.4038,820.03668,1471.532688734831,2142.381339868659,2155.187555142406,3999.972925890678,2120.882793950759,923.25299,548.27966,1409.5123,732.86877,1417.938,737.24957,2631.6565,1368.3163,1389.6735,731.20917,1
AUT,Austria,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",7,2817.463412402697,.0069509658815231,405334.09,1534.935664463626,1107.473805326008,2642.409469789634,4423.012014501607,.34703404,.25038907,.59742308,1106.2701,428.66553,921.76178,185.71204,2028.0321,614.37756,1780.602544711973,2888.07635003798,2902.76207410395,4423.012014501607,2858.456917570692,1159.754,620.84863,2081.5154,806.56073,2092.0999,810.66199,3187.7856,1235.2261,2053.4219,805.03491,1
